Hospital Name,Hospital ID,State,Avg Annual Admissions,Avg Expected Readmission Rate,Avg Annual Readmissions
SOUTHEAST HEALTH MEDICAL CENTER,10001,Alabama,67,19.3765,13
SOUTHEAST HEALTH MEDICAL CENTER,10001,Alabama,106,14.5498,15
SOUTHEAST HEALTH MEDICAL CENTER,10001,Alabama,146,17.7701,24
SOUTHEAST HEALTH MEDICAL CENTER,10001,Alabama,252,21.8333,59
SOUTHEAST HEALTH MEDICAL CENTER,10001,Alabama,55,11.3202,6
MARSHALL MEDICAL CENTERS,10005,Alabama,78,18.2089,10
MARSHALL MEDICAL CENTERS,10005,Alabama,120,16.0472,18
MARSHALL MEDICAL CENTERS,10005,Alabama,52,20.0336,11
NORTH ALABAMA MEDICAL CENTER,10006,Alabama,179,16.5034,38
NORTH ALABAMA MEDICAL CENTER,10006,Alabama,78,18.2945,10
NORTH ALABAMA MEDICAL CENTER,10006,Alabama,183,20.7534,35
NORTH ALABAMA MEDICAL CENTER,10006,Alabama,104,12.5406,16
NORTH ALABAMA MEDICAL CENTER,10006,Alabama,82,4.1172,5
NORTH ALABAMA MEDICAL CENTER,10006,Alabama,36,11.9544,8
MIZELL MEMORIAL HOSPITAL,10007,Alabama,24,18.3236,4
MIZELL MEMORIAL HOSPITAL,10007,Alabama,17,19.3933,6
ST. VINCENT'S EAST,10011,Alabama,46,12.8204,7
ST. VINCENT'S EAST,10011,Alabama,34,19.2283,8
ST. VINCENT'S EAST,10011,Alabama,115,16.4818,19
ST. VINCENT'S EAST,10011,Alabama,20,11.9876,4
ST. VINCENT'S EAST,10011,Alabama,100,21.1272,17
DEKALB REGIONAL MEDICAL CENTER,10012,Alabama,35,18.5498,7
DEKALB REGIONAL MEDICAL CENTER,10012,Alabama,71,14.7605,10
SHELBY BAPTIST MEDICAL CENTER,10016,Alabama,71,16.274,13
SHELBY BAPTIST MEDICAL CENTER,10016,Alabama,32,20.9822,5
SHELBY BAPTIST MEDICAL CENTER,10016,Alabama,76,22.3531,16
SHELBY BAPTIST MEDICAL CENTER,10016,Alabama,33,14.8656,4
HELEN KELLER HOSPITAL,10019,Alabama,73,3.6363,4
HELEN KELLER HOSPITAL,10019,Alabama,87,19.3353,15
HELEN KELLER HOSPITAL,10019,Alabama,73,17.5253,12
HELEN KELLER HOSPITAL,10019,Alabama,91,15.6073,16
DALE MEDICAL CENTER,10021,Alabama,16,15.2136,4
BAPTIST MEDICAL CENTER SOUTH,10023,Alabama,48,18.3484,9
BAPTIST MEDICAL CENTER SOUTH,10023,Alabama,93,4.3489,4
BAPTIST MEDICAL CENTER SOUTH,10023,Alabama,121,21.7591,22
BAPTIST MEDICAL CENTER SOUTH,10023,Alabama,41,20.8999,8
BAPTIST MEDICAL CENTER SOUTH,10023,Alabama,72,15.7621,15
JACKSON HOSPITAL & CLINIC INC,10024,Alabama,90,17.0735,16
JACKSON HOSPITAL & CLINIC INC,10024,Alabama,112,20.7603,23
JACKSON HOSPITAL & CLINIC INC,10024,Alabama,46,18.6911,8
JACKSON HOSPITAL & CLINIC INC,10024,Alabama,53,14.8341,9
JACKSON HOSPITAL & CLINIC INC,10024,Alabama,36,13.1791,6
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,Alabama,72,17.0241,11
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,Alabama,108,20.5931,23
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,Alabama,70,19.9736,17
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,Alabama,38,13.8758,5
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,Alabama,125,4.2483,4
UNIVERSITY OF ALABAMA HOSPITAL,10033,Alabama,122,17.2048,25
UNIVERSITY OF ALABAMA HOSPITAL,10033,Alabama,47,19.7272,10
UNIVERSITY OF ALABAMA HOSPITAL,10033,Alabama,101,13.0373,12
UNIVERSITY OF ALABAMA HOSPITAL,10033,Alabama,92,15.8176,17
UNIVERSITY OF ALABAMA HOSPITAL,10033,Alabama,30,4.7226,4
UNIVERSITY OF ALABAMA HOSPITAL,10033,Alabama,225,22.0675,51
CULLMAN REGIONAL MEDICAL CENTER,10035,Alabama,138,19.2329,31
CULLMAN REGIONAL MEDICAL CENTER,10035,Alabama,118,15.8539,25
CULLMAN REGIONAL MEDICAL CENTER,10035,Alabama,56,18.7593,12
ANDALUSIA HEALTH,10036,Alabama,53,17.1778,9
ANDALUSIA HEALTH,10036,Alabama,76,22.1405,17
ANDALUSIA HEALTH,10036,Alabama,40,21.1612,7
STRINGFELLOW CAMPUS OF NORTHEAST RMC,10038,Alabama,33,17.759,5
HUNTSVILLE HOSPITAL,10039,Alabama,432,16.3013,72
HUNTSVILLE HOSPITAL,10039,Alabama,257,13.1775,33
HUNTSVILLE HOSPITAL,10039,Alabama,414,20.9409,84
HUNTSVILLE HOSPITAL,10039,Alabama,96,11.1595,8
HUNTSVILLE HOSPITAL,10039,Alabama,188,18.46,35
HUNTSVILLE HOSPITAL,10039,Alabama,259,4.0325,14
GADSDEN REGIONAL MEDICAL CENTER,10040,Alabama,62,15.2756,11
GADSDEN REGIONAL MEDICAL CENTER,10040,Alabama,95,23.5058,23
GADSDEN REGIONAL MEDICAL CENTER,10040,Alabama,55,20.7892,12
GADSDEN REGIONAL MEDICAL CENTER,10040,Alabama,107,18.6634,17
RIVERVIEW REGIONAL MEDICAL CENTER,10046,Alabama,17,15.9918,4
RIVERVIEW REGIONAL MEDICAL CENTER,10046,Alabama,76,22.617,16
RIVERVIEW REGIONAL MEDICAL CENTER,10046,Alabama,69,18.6169,16
RIVERVIEW REGIONAL MEDICAL CENTER,10046,Alabama,47,19.1956,7
MEDICAL CENTER ENTERPRISE,10049,Alabama,50,14.9974,9
MEDICAL CENTER ENTERPRISE,10049,Alabama,29,17.185,4
MEDICAL CENTER ENTERPRISE,10049,Alabama,26,19.3018,6
FLOWERS HOSPITAL,10055,Alabama,88,13.4499,13
FLOWERS HOSPITAL,10055,Alabama,116,15.6068,17
FLOWERS HOSPITAL,10055,Alabama,110,3.8807,5
FLOWERS HOSPITAL,10055,Alabama,60,19.1905,10
FLOWERS HOSPITAL,10055,Alabama,129,20.5357,24
ST VINCENT'S BIRMINGHAM,10056,Alabama,48,18.3532,9
ST VINCENT'S BIRMINGHAM,10056,Alabama,122,16.26,21
ST VINCENT'S BIRMINGHAM,10056,Alabama,131,20.7775,27
ST VINCENT'S BIRMINGHAM,10056,Alabama,251,3.8382,5
ST VINCENT'S BIRMINGHAM,10056,Alabama,55,14.454,9
